,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
400,60.0%,0.15,cnn,0.39863063393928694,0.45517126861920687
401,60.0%,0.15,dt,0.2888259838101517,0.2865987694669057
402,60.0%,0.15,lr,0.37170831531307275,0.35666028556140417
403,60.0%,0.15,rf,0.348180975857237,0.41567521733893337
404,60.0%,0.15,svc,0.1109649011043083,0.4076412341472981
405,60.0%,0.2,cnn,0.489895634766713,0.42667257658579927
406,60.0%,0.2,dt,0.33687669001589465,0.27404764899900924
407,60.0%,0.2,lr,0.4184640997082818,0.33950716101450973
408,60.0%,0.2,rf,0.4331433940517589,0.43340196541650705
409,60.0%,0.2,svc,0.29117338183083746,0.30534950140305633
410,60.0%,0.25,cnn,0.6136419903094443,0.3075182666436369
411,60.0%,0.25,dt,0.402173984066479,0.28114271674371355
412,60.0%,0.25,lr,0.5036806621463962,0.36651318131356536
413,60.0%,0.25,rf,0.5022720191019806,0.3925533538026234
414,60.0%,0.25,svc,0.3949524477086259,0.2881761506804859
415,60.0%,0.3,cnn,0.6573681037809346,0.28457143632792437
416,60.0%,0.3,dt,0.4930137013370621,0.30191898428027764
417,60.0%,0.3,lr,0.5478865339263485,0.348908745160832
418,60.0%,0.3,rf,0.6006160595278714,0.3755235506087876
419,60.0%,0.3,svc,0.4749726550274051,0.3011534843865235
420,60.0%,0.35,cnn,0.728156312629481,0.22650444195181352
421,60.0%,0.35,dt,0.5533724231578454,0.2751596612841674
422,60.0%,0.35,lr,0.6282230655361168,0.31481732571097026
423,60.0%,0.35,rf,0.6893559919763965,0.308591470975769
424,60.0%,0.35,svc,0.5736824536927833,0.30818174871617565
425,60.0%,0.4,cnn,0.7782901364180945,0.20401062303704054
426,60.0%,0.4,dt,0.5933784972603977,0.2664929594913296
427,60.0%,0.4,lr,0.6918972363458824,0.27227343067605153
428,60.0%,0.4,rf,0.7571921651831468,0.24924152153622056
