,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
244,60.0%,0.2,mnb,0.009116666666666669,0.002472899085093743
245,60.0%,0.2,sgd,0.011650000000000002,0.006279619470131544
246,60.0%,0.25,lstm,0.12743333333333334,0.015344174078813092
247,60.0%,0.25,mnb,0.009666666666666667,0.002475163990851757
248,60.0%,0.25,sgd,0.015466666666666668,0.010136935989951197
249,60.0%,0.3,lstm,0.14451666666666665,0.018296637779192892
250,60.0%,0.3,mnb,0.015183333333333337,0.00657776208318517
251,60.0%,0.3,sgd,0.02416666666666667,0.006616767276805366
252,60.0%,0.35,lstm,0.16345,0.016531761489055982
253,60.0%,0.35,mnb,0.01991666666666666,0.0084904442568196
254,60.0%,0.35,sgd,0.042699999999999995,0.014927179561295979
255,60.0%,0.4,lstm,0.18525000000000003,0.01655906356672673
256,60.0%,0.4,mnb,0.033100000000000004,0.017028576387740208
257,60.0%,0.4,sgd,0.09258333333333336,0.035731538115395395
258,60.0%,0.45,lstm,0.20645,0.011919521802488554
259,60.0%,0.45,mnb,0.043216666666666674,0.02156653031632714
260,60.0%,0.45,sgd,0.18143333333333336,0.07495972865172491
261,60.0%,0.5,lstm,0.23233333333333334,0.017938272190916336
262,60.0%,0.5,mnb,0.07853333333333334,0.03413409998241049
263,60.0%,0.5,sgd,0.26221666666666665,0.08126199469376316
264,60.0%,0.55,lstm,0.24928333333333333,0.019583456835022658
265,60.0%,0.55,mnb,0.13535,0.06506696153009314
266,60.0%,0.55,sgd,0.3514833333333333,0.11097929935378703
267,60.0%,0.6,lstm,0.27886666666666665,0.018221781837496932
268,60.0%,0.6,mnb,0.19498333333333331,0.08861652015103143
269,60.0%,0.6,sgd,0.44773333333333326,0.09469349223291096
270,60.0%,0.65,lstm,0.2994666666666667,0.01735378987392973
271,60.0%,0.65,mnb,0.32026666666666664,0.12165735754025797
272,60.0%,0.65,sgd,0.52955,0.05206434182485334
273,70.0%,0.05,lstm,0.02386666666666666,0.018581569165269065
274,70.0%,0.05,mnb,0.001916666666666667,0.0010262362883567456
275,70.0%,0.05,sgd,0.0016666666666666663,0.005063958743998566
276,70.0%,0.1,lstm,0.060899999999999996,0.017316725022856985
277,70.0%,0.1,mnb,0.004100000000000001,0.002010318211215535
278,70.0%,0.1,sgd,0.004183333333333332,0.00716490889964624
279,70.0%,0.15,lstm,0.08228333333333332,0.017892246121277447
280,70.0%,0.15,mnb,0.0050166666666666675,0.0030863529792691693
281,70.0%,0.15,sgd,0.006633333333333336,0.005090446314240129
282,70.0%,0.2,lstm,0.1102,0.012216862286934853
283,70.0%,0.2,mnb,0.010533333333333336,0.0035475424551743373
284,70.0%,0.2,sgd,0.011233333333333335,0.007270314385524728
285,70.0%,0.25,lstm,0.14615,0.013315890170562488
286,70.0%,0.25,mnb,0.010533333333333336,0.0024772528351372216
287,70.0%,0.25,sgd,0.018583333333333334,0.008326405166006861
288,70.0%,0.3,lstm,0.1655,0.0171459254232803
289,70.0%,0.3,mnb,0.017966666666666672,0.007079515536382773
290,70.0%,0.3,sgd,0.0257,0.007968255985363161
291,70.0%,0.35,lstm,0.19668333333333335,0.014766272924876951
292,70.0%,0.35,mnb,0.020716666666666664,0.008723416102980937
293,70.0%,0.35,sgd,0.04426666666666666,0.013495678320608169
294,70.0%,0.4,lstm,0.2174333333333333,0.019087698391504867
295,70.0%,0.4,mnb,0.03451666666666667,0.016644603212211277
296,70.0%,0.4,sgd,0.09620000000000001,0.03540324356852651
297,70.0%,0.45,lstm,0.24016666666666667,0.02034543638286472
298,70.0%,0.45,mnb,0.044966666666666676,0.020425614975477163
299,70.0%,0.45,sgd,0.18418333333333334,0.07581903174475814
300,70.0%,0.5,lstm,0.26844999999999997,0.01892150300219485
301,70.0%,0.5,mnb,0.08128333333333333,0.03437638607445858
302,70.0%,0.5,sgd,0.26471666666666666,0.0796234330580767
303,70.0%,0.55,lstm,0.29231666666666667,0.02148916460456988
304,70.0%,0.55,mnb,0.13803333333333334,0.06503671818783355
305,70.0%,0.55,sgd,0.35586666666666666,0.11013212545606875
306,70.0%,0.6,lstm,0.32108333333333333,0.015605085009730632
307,70.0%,0.6,mnb,0.19808333333333333,0.09023007787884807
308,70.0%,0.6,sgd,0.45831666666666665,0.09679052063635919
309,70.0%,0.65,lstm,0.3471000000000001,0.020306020849950406
310,70.0%,0.65,mnb,0.32415000000000005,0.12260478628785114
311,70.0%,0.65,sgd,0.5382166666666667,0.05565715298289089
312,80.0%,0.05,lstm,0.036916666666666674,0.017645983880941202
313,80.0%,0.05,mnb,0.0020333333333333336,0.0015082150521985125
314,80.0%,0.05,sgd,0.0006500000000000001,0.0044993294519563
315,80.0%,0.1,lstm,0.07223333333333333,0.015612623834208835
316,80.0%,0.1,mnb,0.004800000000000001,0.002135900036405553
317,80.0%,0.1,sgd,0.005083333333333334,0.005998682805608149
318,80.0%,0.15,lstm,0.09643333333333333,0.017335300507293233
319,80.0%,0.15,mnb,0.005233333333333335,0.0032950677177211118
