,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
422,60.0%,0.35,lr,0.06268999999999998,0.0564929800338365
423,60.0%,0.35,rf,0.059933333333333276,0.06634762336690578
424,60.0%,0.35,svc,0.1351233333333333,0.04432712008142019
425,60.0%,0.4,cnn,0.1347933333333333,0.11111547250444041
426,60.0%,0.4,dt,0.08535666666666665,0.0898692678219344
427,60.0%,0.4,lr,0.08552333333333327,0.07406287488871607
428,60.0%,0.4,rf,0.07850666666666663,0.08134565216676785
429,60.0%,0.4,svc,0.2251166666666666,0.06544362714071808
430,60.0%,0.45,cnn,0.15300999999999998,0.1148872141080862
431,60.0%,0.45,dt,0.10368999999999998,0.11139582221473368
432,60.0%,0.45,lr,0.10078666666666662,0.07478408798729819
433,60.0%,0.45,rf,0.1006766666666666,0.08833971139411426
434,60.0%,0.45,svc,0.29808999999999997,0.08590538640733247
435,60.0%,0.5,cnn,0.2008533333333333,0.13383053291468988
436,60.0%,0.5,dt,0.12285666666666661,0.12505560606864213
437,60.0%,0.5,lr,0.1494933333333333,0.10483567415108581
438,60.0%,0.5,rf,0.14564999999999995,0.11648571837872186
439,60.0%,0.5,svc,0.48995333333333335,0.11056177469174647
440,60.0%,0.55,cnn,0.24111666666666665,0.13831383126621946
441,60.0%,0.55,dt,0.1951533333333333,0.12622117351569095
442,60.0%,0.55,lr,0.1911266666666666,0.11787357614844386
443,60.0%,0.55,rf,0.19468999999999995,0.13154913950097996
444,60.0%,0.55,svc,0.5640933333333334,0.06942634863693664
445,60.0%,0.6,cnn,0.3015733333333334,0.15241073347425674
446,60.0%,0.6,dt,0.24657666666666658,0.15009412376407597
447,60.0%,0.6,lr,0.2537833333333333,0.15558616879253834
448,60.0%,0.6,rf,0.2642933333333333,0.1730231814911902
449,60.0%,0.6,svc,0.6013833333333333,0.06474164615706365
450,60.0%,0.65,cnn,0.35160666666666657,0.16464678585369966
451,60.0%,0.65,dt,0.2937133333333333,0.16264767874857253
452,60.0%,0.65,lr,0.3120233333333333,0.1838951269409923
453,60.0%,0.65,rf,0.32636666666666664,0.20305969282596367
454,60.0%,0.65,svc,0.6302033333333333,0.05204671961794045
455,70.0%,0.05,cnn,0.012803333333333286,0.012909859459512635
456,70.0%,0.05,dt,0.006809999999999968,0.006618435589712423
457,70.0%,0.05,lr,0.005719999999999963,0.004852400756682041
458,70.0%,0.05,rf,0.0036499999999999636,0.0034716338198764753
459,70.0%,0.05,svc,0.004869999999999966,0.002281129484298929
460,70.0%,0.1,cnn,0.02632333333333329,0.022950707048432918
461,70.0%,0.1,dt,0.008363333333333304,0.005126569285953118
462,70.0%,0.1,lr,0.00909666666666661,0.007245901735051531
463,70.0%,0.1,rf,0.007903333333333292,0.008672051156696867
464,70.0%,0.1,svc,0.009139999999999943,0.002522396233469429
465,70.0%,0.15,cnn,0.042269999999999947,0.042366546252666275
466,70.0%,0.15,dt,0.015043333333333268,0.01100500460866701
467,70.0%,0.15,lr,0.014596666666666624,0.01098740606121493
468,70.0%,0.15,rf,0.013089999999999961,0.014438725466724823
469,70.0%,0.15,svc,0.01928666666666661,0.005302486946338655
470,70.0%,0.2,cnn,0.054636666666666646,0.05119077559235771
471,70.0%,0.2,dt,0.022386666666666624,0.018134549485925234
472,70.0%,0.2,lr,0.024236666666666636,0.022350429808924873
473,70.0%,0.2,rf,0.02094333333333329,0.022863111130699446
474,70.0%,0.2,svc,0.031373333333333295,0.0035349421624623614
475,70.0%,0.25,cnn,0.06850666666666662,0.06343797912451421
476,70.0%,0.25,dt,0.03659666666666662,0.03424671626174753
477,70.0%,0.25,lr,0.03023999999999995,0.024672022407074206
478,70.0%,0.25,rf,0.026329999999999965,0.02708212478293793
479,70.0%,0.25,svc,0.05136666666666663,0.02135961922257354
480,70.0%,0.3,cnn,0.08798999999999994,0.07739912389239523
481,70.0%,0.3,dt,0.05283666666666662,0.05147273455237103
482,70.0%,0.3,lr,0.047359999999999944,0.04188361213550286
483,70.0%,0.3,rf,0.044229999999999964,0.04901228663691699
484,70.0%,0.3,svc,0.08714333333333331,0.03788405800036096
485,70.0%,0.35,cnn,0.11593999999999996,0.10267441544127193
486,70.0%,0.35,dt,0.06752666666666664,0.06464262463375255
487,70.0%,0.35,lr,0.0660033333333333,0.05829166547944752
488,70.0%,0.35,rf,0.061953333333333284,0.06678093746867743
489,70.0%,0.35,svc,0.14410666666666663,0.042909334514831955
490,70.0%,0.4,cnn,0.1437833333333333,0.11683102765527877
491,70.0%,0.4,dt,0.08732999999999998,0.09192150380661192
492,70.0%,0.4,lr,0.08909999999999996,0.07592927289760269
493,70.0%,0.4,rf,0.08022999999999995,0.08205563776886492
494,70.0%,0.4,svc,0.23773999999999998,0.06089666544293675
495,70.0%,0.45,cnn,0.16311666666666663,0.1205230614170306
496,70.0%,0.45,dt,0.10646999999999997,0.11159336326205933
497,70.0%,0.45,lr,0.10631999999999994,0.0772618405165189
498,70.0%,0.45,rf,0.10198999999999996,0.08895144878741049
499,70.0%,0.45,svc,0.3159166666666667,0.08759042650936205
