,noise_proportion_corrected(beta),noise_ratio(alpha),machine_learning_model(f),mean,std
241,60.0%,0.15,mnb,0.0021666666666666666,0.0038877816217446357
242,60.0%,0.15,sgd,0.005208333333333333,0.007949309819767013
243,60.0%,0.2,lstm,0.1027,0.022308983757726865
244,60.0%,0.2,mnb,0.0029166666666666664,0.004123275464994316
245,60.0%,0.2,sgd,0.010825000000000001,0.010124985735024706
246,60.0%,0.25,lstm,0.12864166666666668,0.022244552097968075
247,60.0%,0.25,mnb,0.008741666666666667,0.004501159203324124
248,60.0%,0.25,sgd,0.015583333333333334,0.01238431057666852
249,60.0%,0.3,lstm,0.162525,0.022570138113307627
250,60.0%,0.3,mnb,0.02141666666666667,0.010806614324813581
251,60.0%,0.3,sgd,0.033716666666666666,0.026636420171483644
252,60.0%,0.35,lstm,0.18661666666666665,0.02693196636573219
253,60.0%,0.35,mnb,0.04584166666666667,0.026016153945317175
254,60.0%,0.35,sgd,0.05870833333333334,0.04160405519854508
255,60.0%,0.4,lstm,0.2218166666666667,0.02717821153190234
256,60.0%,0.4,mnb,0.12196666666666668,0.06395677812231566
257,60.0%,0.4,sgd,0.1298166666666667,0.0959495651247
258,60.0%,0.45,lstm,0.24564166666666667,0.03047158638848349
259,60.0%,0.45,mnb,0.26594999999999996,0.09306308062164027
260,60.0%,0.45,sgd,0.26336666666666664,0.11629294604454686
261,60.0%,0.5,lstm,0.268575,0.03450725474812653
262,60.0%,0.5,mnb,0.5019583333333333,0.09919274131695316
263,60.0%,0.5,sgd,0.49935,0.10380190004899482
264,60.0%,0.55,lstm,0.30414166666666664,0.03564915307333315
265,60.0%,0.55,mnb,0.7170166666666666,0.07160383344197038
266,60.0%,0.55,sgd,0.7052583333333333,0.07979643173856386
267,60.0%,0.6,lstm,0.32367499999999993,0.03630453880460577
268,60.0%,0.6,mnb,0.8032000000000001,0.07890368557069216
269,60.0%,0.6,sgd,0.7841083333333333,0.07526488750617068
270,60.0%,0.65,lstm,0.3583416666666667,0.042342242219685015
271,60.0%,0.65,mnb,0.8381833333333334,0.07719112842887615
272,60.0%,0.65,sgd,0.8144000000000001,0.07482342238774653
273,70.0%,0.05,lstm,0.03138333333333333,0.01685488400570999
274,70.0%,0.05,mnb,0.0009583333333333335,0.0029630663011080104
275,70.0%,0.05,sgd,0.004125,0.00574757895687795
276,70.0%,0.1,lstm,0.0634,0.014378087903636767
277,70.0%,0.1,mnb,0.0012583333333333335,0.0031154152732709604
278,70.0%,0.1,sgd,0.0036583333333333337,0.006939711365578184
279,70.0%,0.15,lstm,0.09630000000000001,0.0183402024310007
280,70.0%,0.15,mnb,0.0025833333333333337,0.004208002247286148
281,70.0%,0.15,sgd,0.0066250000000000015,0.007981135847219035
282,70.0%,0.2,lstm,0.121775,0.02364103486338457
283,70.0%,0.2,mnb,0.0032333333333333333,0.004494129379485177
284,70.0%,0.2,sgd,0.012408333333333332,0.009341779141845198
285,70.0%,0.25,lstm,0.15174166666666666,0.02032942803567535
286,70.0%,0.25,mnb,0.009158333333333334,0.005015933994535316
287,70.0%,0.25,sgd,0.016883333333333337,0.012506256137510972
288,70.0%,0.3,lstm,0.18988333333333335,0.02218947563895219
289,70.0%,0.3,mnb,0.022816666666666666,0.011203228326244716
290,70.0%,0.3,sgd,0.035641666666666676,0.026307424850047494
291,70.0%,0.35,lstm,0.21625833333333333,0.027891595623817884
292,70.0%,0.35,mnb,0.046833333333333345,0.025939274052589643
293,70.0%,0.35,sgd,0.061791666666666675,0.04228472832240642
294,70.0%,0.4,lstm,0.2569,0.02888935717497351
295,70.0%,0.4,mnb,0.12428333333333334,0.06349911444275427
296,70.0%,0.4,sgd,0.13354166666666664,0.0962023336806454
297,70.0%,0.45,lstm,0.28385000000000005,0.03240490936973137
298,70.0%,0.45,mnb,0.2687083333333334,0.09305563492060107
299,70.0%,0.45,sgd,0.26616666666666666,0.11623811646739615
300,70.0%,0.5,lstm,0.3141666666666667,0.0349502247100489
301,70.0%,0.5,mnb,0.5050250000000001,0.09968635371828513
302,70.0%,0.5,sgd,0.505075,0.10536739744996149
303,70.0%,0.55,lstm,0.3530666666666667,0.03987264038134912
304,70.0%,0.55,mnb,0.7205583333333333,0.07019621908386141
305,70.0%,0.55,sgd,0.709975,0.07997420408686623
306,70.0%,0.6,lstm,0.37924166666666664,0.03965163339400188
307,70.0%,0.6,mnb,0.8073999999999999,0.07791715056995588
308,70.0%,0.6,sgd,0.7923333333333333,0.07443911655056856
309,70.0%,0.65,lstm,0.41536666666666666,0.045920086473532414
310,70.0%,0.65,mnb,0.8450416666666667,0.07512559744958348
311,70.0%,0.65,sgd,0.8238749999999999,0.07114921738468936
312,80.0%,0.05,lstm,0.03365833333333334,0.017302788347368685
313,80.0%,0.05,mnb,0.0010666666666666667,0.003116055827736183
314,80.0%,0.05,sgd,0.004408333333333334,0.00589472892775
315,80.0%,0.1,lstm,0.07265833333333332,0.013636022383473013
316,80.0%,0.1,mnb,0.00155,0.002918644787389857
317,80.0%,0.1,sgd,0.004291666666666668,0.006466976009812051
318,80.0%,0.15,lstm,0.109975,0.019358824231606942
319,80.0%,0.15,mnb,0.002608333333333333,0.00427676118979185
320,80.0%,0.15,sgd,0.006533333333333334,0.008327269502480797
321,80.0%,0.2,lstm,0.14206666666666667,0.023977837573014606
322,80.0%,0.2,mnb,0.0035833333333333338,0.004478864151728187
323,80.0%,0.2,sgd,0.013233333333333335,0.010076791984291324
324,80.0%,0.25,lstm,0.1747166666666667,0.02273677779338511
325,80.0%,0.25,mnb,0.009558333333333335,0.0059250158079898795
326,80.0%,0.25,sgd,0.01734166666666667,0.012361158897923767
327,80.0%,0.3,lstm,0.21866666666666668,0.025171790711410416
328,80.0%,0.3,mnb,0.02365,0.011436819502647336
329,80.0%,0.3,sgd,0.03800833333333333,0.026669623873144782
330,80.0%,0.35,lstm,0.24755,0.0273203374857657
331,80.0%,0.35,mnb,0.04749166666666667,0.025959566437748036
332,80.0%,0.35,sgd,0.062725,0.042018195838381796
333,80.0%,0.4,lstm,0.294875,0.02871844267330372
334,80.0%,0.4,mnb,0.12474166666666667,0.06423976828360804
335,80.0%,0.4,sgd,0.13578333333333334,0.09550099505252502
336,80.0%,0.45,lstm,0.32741666666666663,0.031509524592669154
337,80.0%,0.45,mnb,0.2707,0.09301491702902265
338,80.0%,0.45,sgd,0.27045,0.1168247160737585
339,80.0%,0.5,lstm,0.35623333333333335,0.040305708529388515
340,80.0%,0.5,mnb,0.5066583333333333,0.0987625533629964
341,80.0%,0.5,sgd,0.5071666666666667,0.10376268441916463
342,80.0%,0.55,lstm,0.40234166666666665,0.04043637929276214
343,80.0%,0.55,mnb,0.7234666666666667,0.06924781140045873
344,80.0%,0.55,sgd,0.71465,0.07893808338440554
345,80.0%,0.6,lstm,0.431025,0.04385699880905915
346,80.0%,0.6,mnb,0.8094666666666667,0.07660089006365015
347,80.0%,0.6,sgd,0.797,0.07287435947511006
348,80.0%,0.65,lstm,0.4743833333333333,0.05146854849899925
349,80.0%,0.65,mnb,0.8479333333333333,0.074325056378063
350,80.0%,0.65,sgd,0.8303416666666669,0.06999045503151277
351,90.0%,0.05,lstm,0.04083333333333334,0.01754769411140538
352,90.0%,0.05,mnb,0.0012833333333333334,0.0030738346383228725
353,90.0%,0.05,sgd,0.004183333333333333,0.00586684650857529
