,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
252,60.0%,0.35,NAR,0.25613332506666664,0.08772374118372347
253,60.0%,0.35,NCAR,0.21806126820000002,0.12878855229102573
254,60.0%,0.35,NNAR,0.236350415,0.10848906858731924
255,60.0%,0.4,NAR,0.3265956931666667,0.06401642834292419
256,60.0%,0.4,NCAR,0.26978768873333336,0.14692577114902589
257,60.0%,0.4,NNAR,0.34193386136666665,0.09702859519548152
258,60.0%,0.45,NAR,0.4148685173666667,0.10093632123914573
259,60.0%,0.45,NCAR,0.33526193346666666,0.1753959142910449
260,60.0%,0.45,NNAR,0.4049246605000001,0.12089024584025745
261,60.0%,0.5,NAR,0.4908428508666666,0.07526872991826329
262,60.0%,0.5,NCAR,0.41823092549999996,0.17637937849376015
263,60.0%,0.5,NNAR,0.4732432614666667,0.11751962245886571
264,60.0%,0.55,NAR,0.5686346340333334,0.132599191830647
265,60.0%,0.55,NCAR,0.4573283291333334,0.17209529368713627
266,60.0%,0.55,NNAR,0.5420710952000001,0.08842185966952472
267,60.0%,0.6,NAR,0.6237561375999998,0.13965055112604863
268,60.0%,0.6,NCAR,0.5334874977666666,0.14583839646923796
269,60.0%,0.6,NNAR,0.5691779655666667,0.1034042545089645
270,60.0%,0.65,NAR,0.6571295238999999,0.16072669495319003
271,60.0%,0.65,NCAR,0.5898219782999999,0.1224827634584294
272,60.0%,0.65,NNAR,0.6348940401333334,0.1372485361049784
273,70.0%,0.05,NAR,0.06101549146666666,0.08174526671285065
274,70.0%,0.05,NCAR,0.04148359310000001,0.05857426501555401
275,70.0%,0.05,NNAR,0.04342699183333334,0.07980201110737091
276,70.0%,0.1,NAR,0.09921913323333334,0.13357562724296415
277,70.0%,0.1,NCAR,0.09955022823333334,0.10339512108118366
278,70.0%,0.1,NNAR,0.10926494943333334,0.1075210591860129
279,70.0%,0.15,NAR,0.11010442219999998,0.1393076584962677
280,70.0%,0.15,NCAR,0.1333390958333333,0.13321543882371273
281,70.0%,0.15,NNAR,0.13036890823333333,0.10785152591307691
282,70.0%,0.2,NAR,0.15832000176666666,0.12634533933081796
283,70.0%,0.2,NCAR,0.15424862990000002,0.14462003537505344
284,70.0%,0.2,NNAR,0.17500716586666665,0.13154655952712138
285,70.0%,0.25,NAR,0.19215976399999998,0.14897845892785602
286,70.0%,0.25,NCAR,0.18891149616666664,0.15193938377812113
287,70.0%,0.25,NNAR,0.19940999273333335,0.14839006636134933
288,70.0%,0.3,NAR,0.22208413226666668,0.14577784737207056
289,70.0%,0.3,NCAR,0.2064336758,0.14464301090874246
290,70.0%,0.3,NNAR,0.2490379659,0.12569444687098544
291,70.0%,0.35,NAR,0.2844822920666667,0.11223168132413966
292,70.0%,0.35,NCAR,0.2484576552666667,0.15581685051253383
293,70.0%,0.35,NNAR,0.26576475476666667,0.14074233928090477
294,70.0%,0.4,NAR,0.35678440466666667,0.08317235541789604
295,70.0%,0.4,NCAR,0.30295089516666673,0.16519313806825978
296,70.0%,0.4,NNAR,0.3695906977333333,0.11106294138791989
297,70.0%,0.45,NAR,0.43804700756666665,0.10412272406728586
298,70.0%,0.45,NCAR,0.36935505383333334,0.18009443706696437
299,70.0%,0.45,NNAR,0.4320637267666667,0.12651080241483542
300,70.0%,0.5,NAR,0.5195950847,0.0610757061366744
301,70.0%,0.5,NCAR,0.44518599610000004,0.17204305612939902
302,70.0%,0.5,NNAR,0.5026568178999998,0.10929912209965695
303,70.0%,0.55,NAR,0.6002692679,0.10038712056732163
304,70.0%,0.55,NCAR,0.4879467584333334,0.17154869892336488
305,70.0%,0.55,NNAR,0.5735983114,0.06562461992845152
306,70.0%,0.6,NAR,0.6561736313000001,0.11347621916584252
307,70.0%,0.6,NCAR,0.5620799009333334,0.1412484592520864
308,70.0%,0.6,NNAR,0.6016534571666666,0.08373198982330589
309,70.0%,0.65,NAR,0.6877787592666669,0.13246114165097955
310,70.0%,0.65,NCAR,0.6190266327333332,0.106278316571254
311,70.0%,0.65,NNAR,0.6668808669333333,0.10549028443179088
312,80.0%,0.05,NAR,0.07431136633333332,0.09616152784043307
313,80.0%,0.05,NCAR,0.07441617116666668,0.09572311722540432
314,80.0%,0.05,NNAR,0.05874094286666666,0.10381572980942719
315,80.0%,0.1,NAR,0.11029927686666667,0.14297793261734398
316,80.0%,0.1,NCAR,0.1248873428,0.13326285316815337
317,80.0%,0.1,NNAR,0.131206825,0.11705831708462151
318,80.0%,0.15,NAR,0.13066702710000003,0.16708050128580085
319,80.0%,0.15,NCAR,0.14820559793333335,0.1572177053919428
320,80.0%,0.15,NNAR,0.14777420926666668,0.12572812247300144
321,80.0%,0.2,NAR,0.17611942716666665,0.14623839024582008
322,80.0%,0.2,NCAR,0.16796513586666667,0.1605921197494747
323,80.0%,0.2,NNAR,0.1971033737,0.14762075417223475
324,80.0%,0.25,NAR,0.21189576153333334,0.15885530910457166
325,80.0%,0.25,NCAR,0.21654671993333335,0.17894720889533974
326,80.0%,0.25,NNAR,0.22578182513333334,0.17924845164885866
327,80.0%,0.3,NAR,0.2504193794,0.17459842343084728
328,80.0%,0.3,NCAR,0.24023933623333332,0.18277062183734197
329,80.0%,0.3,NNAR,0.27456750543333336,0.15061689027596153
330,80.0%,0.35,NAR,0.31684243426666664,0.14833333433291562
331,80.0%,0.35,NCAR,0.2679295335333334,0.1711485113148481
332,80.0%,0.35,NNAR,0.29437476053333334,0.17134412575634878
333,80.0%,0.4,NAR,0.39214716413333334,0.10603932929473929
334,80.0%,0.4,NCAR,0.3233942903333334,0.18793864425893075
335,80.0%,0.4,NNAR,0.4010635171,0.134560180074148
336,80.0%,0.45,NAR,0.47352727513333337,0.106840545846891
337,80.0%,0.45,NCAR,0.39190077673333323,0.19655628550721552
338,80.0%,0.45,NNAR,0.46314542026666666,0.13614441687669876
339,80.0%,0.5,NAR,0.5500458285333333,0.052636084331421584
340,80.0%,0.5,NCAR,0.47839678940000013,0.1804826837782037
341,80.0%,0.5,NNAR,0.5356710608333334,0.10975551025231026
342,80.0%,0.55,NAR,0.6384343676333332,0.07256999888634608
343,80.0%,0.55,NCAR,0.5085166939,0.1815240329503942
344,80.0%,0.55,NNAR,0.5995849616333332,0.052431102089979593
345,80.0%,0.6,NAR,0.6848958501,0.08037319535173858
346,80.0%,0.6,NCAR,0.5898857249666667,0.13598692989405303
