,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
163,60.0%,0.2,NNAR,0.4817821102867277,0.36070920291153596
164,60.0%,0.25,NCAR,0.41558308239923203,0.31670263707183244
165,60.0%,0.25,NNAR,0.5506719142504246,0.34700175399135685
166,60.0%,0.3,NCAR,0.5027833997016237,0.32170903439414716
167,60.0%,0.3,NNAR,0.6067594217382251,0.3312000773973023
168,60.0%,0.35,NCAR,0.5787045556174429,0.2949482010996871
169,60.0%,0.35,NNAR,0.6904115431796063,0.28551653856684817
170,60.0%,0.4,NCAR,0.659517758719176,0.2799225611476951
171,60.0%,0.4,NNAR,0.7438435713495971,0.23909615954507527
172,60.0%,0.45,NCAR,0.7414017617938251,0.21557190958200664
173,60.0%,0.45,NNAR,0.7838541653194753,0.1985061252030636
174,60.0%,0.5,NCAR,0.8281728939840646,0.16148822448625344
175,60.0%,0.5,NNAR,0.8168376901032659,0.16353249396933253
176,60.0%,0.55,NCAR,0.8625390690605965,0.127475400502007
177,60.0%,0.55,NNAR,0.8303431776876227,0.14547461055056604
178,60.0%,0.6,NCAR,0.8754640766084885,0.11518758569006454
179,60.0%,0.6,NNAR,0.8367927121975838,0.13846663327958333
180,60.0%,0.65,NCAR,0.8783755623779648,0.11012742053109484
181,60.0%,0.65,NNAR,0.8532339015308975,0.11996918415333314
182,70.0%,0.05,NCAR,0.10567355786984538,0.48197096941530104
183,70.0%,0.05,NNAR,0.30397422249505684,0.39597092161886194
184,70.0%,0.1,NCAR,0.1763476029400233,0.41098635193225624
185,70.0%,0.1,NNAR,0.33013293312768893,0.37468789419509557
186,70.0%,0.15,NCAR,0.27476897416098617,0.35582995461211403
187,70.0%,0.15,NNAR,0.38776451347771485,0.42074046006549215
188,70.0%,0.2,NCAR,0.33335587753762186,0.36065858368368753
189,70.0%,0.2,NNAR,0.5012856475571422,0.3691564124281404
190,70.0%,0.25,NCAR,0.44493899818842486,0.31897468669268214
191,70.0%,0.25,NNAR,0.562062577110403,0.34966478139889007
192,70.0%,0.3,NCAR,0.5278976621546534,0.32931868851483337
193,70.0%,0.3,NNAR,0.6294077849772169,0.3280704294174351
194,70.0%,0.35,NCAR,0.5978335914931822,0.29538732969914355
195,70.0%,0.35,NNAR,0.7076409191750179,0.2814899598091804
196,70.0%,0.4,NCAR,0.6810734926573491,0.2739643381718759
197,70.0%,0.4,NNAR,0.7607702633800488,0.23448689675354462
198,70.0%,0.45,NCAR,0.7606061924680355,0.20513874046172348
199,70.0%,0.45,NNAR,0.8016856203231864,0.19212490526499812
200,70.0%,0.5,NCAR,0.8379129130985211,0.1570598517687544
201,70.0%,0.5,NNAR,0.8332754176804644,0.16083422326588542
202,70.0%,0.55,NCAR,0.8727474362990725,0.12287319395375106
203,70.0%,0.55,NNAR,0.8506510287566741,0.14093812323036026
204,70.0%,0.6,NCAR,0.8863083328618805,0.11079502552386339
205,70.0%,0.6,NNAR,0.8583011641995938,0.13540494445796453
206,70.0%,0.65,NCAR,0.891979286444186,0.10426342557224082
207,70.0%,0.65,NNAR,0.8768231310966432,0.1145859072239322
208,80.0%,0.05,NCAR,0.16863952867090926,0.443675096207679
209,80.0%,0.05,NNAR,0.29774240529935475,0.4717215059288167
210,80.0%,0.1,NCAR,0.23037526213396095,0.417656000186256
211,80.0%,0.1,NNAR,0.34313790930397464,0.39995005785584165
212,80.0%,0.15,NCAR,0.29457900831338557,0.3591385190251231
213,80.0%,0.15,NNAR,0.40956181212844583,0.41923458070957975
214,80.0%,0.2,NCAR,0.37320274297043343,0.333483515763795
215,80.0%,0.2,NNAR,0.5291998727806805,0.37168418193305386
216,80.0%,0.25,NCAR,0.4745525072775435,0.3301030926672273
217,80.0%,0.25,NNAR,0.583856754060685,0.34861375597722427
218,80.0%,0.3,NCAR,0.5525720985075041,0.3314216363962286
219,80.0%,0.3,NNAR,0.6404360334666294,0.327757105541911
220,80.0%,0.35,NCAR,0.6225310895885643,0.2979616638609942
221,80.0%,0.35,NNAR,0.7206569453721624,0.27685387112630366
222,80.0%,0.4,NCAR,0.6965047990474029,0.2706959971853901
223,80.0%,0.4,NNAR,0.7715813375528949,0.23061198364900498
224,80.0%,0.45,NCAR,0.775176709047477,0.20189562740716469
225,80.0%,0.45,NNAR,0.8127043662415565,0.1890966425977899
226,80.0%,0.5,NCAR,0.8474488056610932,0.15186414531473064
227,80.0%,0.5,NNAR,0.8460986089707275,0.15556016384829482
228,80.0%,0.55,NCAR,0.8796289427585904,0.11915720467092296
229,80.0%,0.55,NNAR,0.8625299733567056,0.1355501630409
230,80.0%,0.6,NCAR,0.8936705318009399,0.10663081685825197
231,80.0%,0.6,NNAR,0.8716712647906428,0.12850010223883682
232,80.0%,0.65,NCAR,0.8996966523878723,0.09990375200920089
233,80.0%,0.65,NNAR,0.888835710576363,0.1095839883003471
234,90.0%,0.05,NCAR,0.18128848317192023,0.4701753850238362
235,90.0%,0.05,NNAR,0.34210074983805283,0.4538358901831381
236,90.0%,0.1,NCAR,0.21028142617143641,0.5246098937664881
237,90.0%,0.1,NNAR,0.37504584704594535,0.41941771190682864
238,90.0%,0.15,NCAR,0.3192149858203822,0.40642678782848524
239,90.0%,0.15,NNAR,0.4282181670153621,0.43186289403231304
240,90.0%,0.2,NCAR,0.4041495699281029,0.34320533667892894
241,90.0%,0.2,NNAR,0.5386941400153912,0.37913407634755947
242,90.0%,0.25,NCAR,0.5031064466603031,0.33702546394292987
243,90.0%,0.25,NNAR,0.5940165635942478,0.3530793340863967
244,90.0%,0.3,NCAR,0.5720028123350815,0.3312777612582082
245,90.0%,0.3,NNAR,0.6530075083926492,0.325573657740346
246,90.0%,0.35,NCAR,0.640205762596554,0.2985247676971188
247,90.0%,0.35,NNAR,0.7305092504060129,0.2726980023873409
248,90.0%,0.4,NCAR,0.7114665892989985,0.2682263912062924
249,90.0%,0.4,NNAR,0.781140388763425,0.22559302729009523
250,90.0%,0.45,NCAR,0.788286949692552,0.19654533497635657
251,90.0%,0.45,NNAR,0.8210021569191377,0.18582717195577061
252,90.0%,0.5,NCAR,0.8535636198191859,0.14862798318060993
253,90.0%,0.5,NNAR,0.8538766777659015,0.15200677158405368
254,90.0%,0.55,NCAR,0.8864930718808749,0.11452849438378117
255,90.0%,0.55,NNAR,0.8704426759743171,0.13196411856860402
256,90.0%,0.6,NCAR,0.8993776633188473,0.10299613060950082
257,90.0%,0.6,NNAR,0.880069739227646,0.12481716829134795
258,90.0%,0.65,NCAR,0.9056615099354502,0.09642131238925672
259,90.0%,0.65,NNAR,0.8967038946979309,0.10509563295576671
