,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
259,60.0%,0.45,NCAR,0.23415414174687052,0.23239860116037678
260,60.0%,0.45,NNAR,0.5950960242131696,0.061807079010062146
261,60.0%,0.5,NAR,0.4808837813070567,0.17599347043526117
262,60.0%,0.5,NCAR,0.2852722685021804,0.25286186695478113
263,60.0%,0.5,NNAR,0.6521907564008451,0.052200672864892994
264,60.0%,0.55,NAR,0.6256598012889948,0.08041394151103326
265,60.0%,0.55,NCAR,0.3146265036513248,0.24324876128078274
266,60.0%,0.55,NNAR,0.6759620767356889,0.05221305607282526
267,60.0%,0.6,NAR,0.681460310857319,0.06947639463508436
268,60.0%,0.6,NCAR,0.3616875483880873,0.231877446870444
269,60.0%,0.6,NNAR,0.7090418175356415,0.0430231718680399
270,60.0%,0.65,NAR,0.724529030130507,0.05322035658594412
271,60.0%,0.65,NCAR,0.40544123398130627,0.207825558060021
272,60.0%,0.65,NNAR,0.7217648683038257,0.04506745568145938
273,70.0%,0.05,NAR,0.02170022117768136,0.01923155111335941
274,70.0%,0.05,NCAR,0.021313882978273645,0.027012801943150245
275,70.0%,0.05,NNAR,0.0983161392544039,0.07628648486695509
276,70.0%,0.1,NAR,0.04018013943542893,0.045462666822438824
277,70.0%,0.1,NCAR,0.048336427699563436,0.03178037234933664
278,70.0%,0.1,NNAR,0.1496094149345107,0.11929309110555669
279,70.0%,0.15,NAR,0.08492356960439384,0.05716099897838942
280,70.0%,0.15,NCAR,0.04877860074917128,0.03589601843643713
281,70.0%,0.15,NNAR,0.21930630623032193,0.14979842821668882
282,70.0%,0.2,NAR,0.10360125679213997,0.06854874670831791
283,70.0%,0.2,NCAR,0.08158013956778735,0.05895790719463092
284,70.0%,0.2,NNAR,0.2880442217182099,0.141510315687267
285,70.0%,0.25,NAR,0.1369135361280348,0.0724209374765241
286,70.0%,0.25,NCAR,0.09110324499220565,0.06871172850296958
287,70.0%,0.25,NNAR,0.3636843888316339,0.11746430316220399
288,70.0%,0.3,NAR,0.1695692975943608,0.09360266294885664
289,70.0%,0.3,NCAR,0.1415770134103832,0.11827621334147832
290,70.0%,0.3,NNAR,0.4616598328502339,0.09577220063351854
291,70.0%,0.35,NAR,0.24121758579403185,0.12068629091729377
292,70.0%,0.35,NCAR,0.17513003606967337,0.14104696858309138
293,70.0%,0.35,NNAR,0.5356877436544232,0.09215493376171544
294,70.0%,0.4,NAR,0.31388039809694024,0.14667033802498353
295,70.0%,0.4,NCAR,0.21891637468847447,0.20701117327771174
296,70.0%,0.4,NNAR,0.5948861044240836,0.07677553263298617
297,70.0%,0.45,NAR,0.3992334924413513,0.14320614527680814
298,70.0%,0.45,NCAR,0.25127588588260574,0.24060287176191733
299,70.0%,0.45,NNAR,0.6192068307572214,0.06788375808356908
300,70.0%,0.5,NAR,0.49920893620432466,0.17793241320414646
301,70.0%,0.5,NCAR,0.3047036079701912,0.2577616817360204
302,70.0%,0.5,NNAR,0.6772147507945552,0.061842384162182316
303,70.0%,0.55,NAR,0.6401089625399125,0.07981689714452748
304,70.0%,0.55,NCAR,0.33336302068144424,0.24812016462936742
305,70.0%,0.55,NNAR,0.6976972272153381,0.060863807527285874
306,70.0%,0.6,NAR,0.6955307145669487,0.07141580171063788
307,70.0%,0.6,NCAR,0.37535395372683505,0.23235987622858736
308,70.0%,0.6,NNAR,0.7289938064423599,0.048186005271210516
309,70.0%,0.65,NAR,0.7402392538513112,0.054017703126034475
310,70.0%,0.65,NCAR,0.42551726877132895,0.2104342935512549
311,70.0%,0.65,NNAR,0.7486508634575547,0.048083738083042504
312,80.0%,0.05,NAR,0.025156150435495114,0.020892991801632434
313,80.0%,0.05,NCAR,0.023833506986198096,0.02629732920210924
314,80.0%,0.05,NNAR,0.10425050355211705,0.08027982539860161
315,80.0%,0.1,NAR,0.04725052805087241,0.047077379583248265
316,80.0%,0.1,NCAR,0.05381728334749642,0.024587359275897513
317,80.0%,0.1,NNAR,0.15578081266258642,0.12647778280786237
318,80.0%,0.15,NAR,0.09594347283123394,0.06260090500172404
