,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
215,80.0%,0.2,NNAR,0.3190366202111111,0.24553091181027595
216,80.0%,0.25,NCAR,0.3420551914888889,0.2429159741699243
217,80.0%,0.25,NNAR,0.3603709914722223,0.22974580020777507
218,80.0%,0.3,NCAR,0.43810352593888885,0.2006441545123148
219,80.0%,0.3,NNAR,0.49290442225000003,0.19473888412220805
220,80.0%,0.35,NCAR,0.5044602460000001,0.17437670467432684
221,80.0%,0.35,NNAR,0.6003789049944445,0.1528241755355742
222,80.0%,0.4,NCAR,0.6235122420111111,0.11040385351575037
223,80.0%,0.4,NNAR,0.7278321113388889,0.1179930057814334
224,80.0%,0.45,NCAR,0.7414632366277778,0.09758137451973059
225,80.0%,0.45,NNAR,0.8130761774444444,0.09560465336695237
226,80.0%,0.5,NCAR,0.826331022711111,0.1034324220919571
227,80.0%,0.5,NNAR,0.8349157391999998,0.1134463753665758
228,80.0%,0.55,NCAR,0.8529386668388889,0.10988455134048272
229,80.0%,0.55,NNAR,0.8550909775222222,0.10862783532630893
230,80.0%,0.6,NCAR,0.8598909240888888,0.10885464196307179
231,80.0%,0.6,NNAR,0.8600949948055554,0.10997606434172914
232,80.0%,0.65,NCAR,0.8632760807722223,0.10788418424489404
233,80.0%,0.65,NNAR,0.8653590412055555,0.10322903153402466
234,90.0%,0.05,NCAR,0.1889957938777778,0.22331409611269218
235,90.0%,0.05,NNAR,0.17196944050555554,0.22027488344917465
236,90.0%,0.1,NCAR,0.21632176292777774,0.2891918535800458
237,90.0%,0.1,NNAR,0.24567260176666667,0.2731809936458829
238,90.0%,0.15,NCAR,0.2631782120555556,0.3057727481691378
239,90.0%,0.15,NNAR,0.27665953847777774,0.3086882883561391
240,90.0%,0.2,NCAR,0.29965285463888885,0.3075328038987717
241,90.0%,0.2,NNAR,0.3382254175555555,0.2825082058449196
242,90.0%,0.25,NCAR,0.37892862722222226,0.2705888224674431
243,90.0%,0.25,NNAR,0.40080367260555555,0.262832607533679
244,90.0%,0.3,NCAR,0.4776695941611111,0.23077674567886092
245,90.0%,0.3,NNAR,0.5284598036722223,0.2107913115722557
246,90.0%,0.35,NCAR,0.5406101333611111,0.20488080277019882
247,90.0%,0.35,NNAR,0.6350013571444444,0.1713047580608986
248,90.0%,0.4,NCAR,0.6595142502111112,0.13183286478344114
249,90.0%,0.4,NNAR,0.7601038160944444,0.11899759994953268
250,90.0%,0.45,NCAR,0.7760223107166666,0.0954430754608327
251,90.0%,0.45,NNAR,0.8415539726444445,0.07463168851249365
252,90.0%,0.5,NCAR,0.858878590788889,0.07697324453889288
253,90.0%,0.5,NNAR,0.8665432964722221,0.08365333288274451
254,90.0%,0.55,NCAR,0.8837281013833334,0.07664045088534097
255,90.0%,0.55,NNAR,0.8881290866944445,0.07398290511206267
256,90.0%,0.6,NCAR,0.889705444311111,0.07545626292503806
257,90.0%,0.6,NNAR,0.8943094059111112,0.07073904315862338
258,90.0%,0.65,NCAR,0.8958634880055556,0.07088177575796474
259,90.0%,0.65,NNAR,0.8975532024722223,0.06892972616431069
