,noise_proportion_corrected(beta),noise_ratio(alpha),noise_type(t),mean,std
215,50.0%,0.35,NNAR,0.0671,0.05619752724956426
216,50.0%,0.4,NAR,0.08958333333333335,0.04651512237106769
217,50.0%,0.4,NCAR,0.08378333333333332,0.06499372427705846
218,50.0%,0.4,NNAR,0.10033333333333333,0.054244868394406086
219,50.0%,0.45,NAR,0.13483333333333333,0.0778785895650639
220,50.0%,0.45,NCAR,0.11296666666666665,0.0751141583298994
221,50.0%,0.45,NNAR,0.13693333333333335,0.07567030726975311
222,50.0%,0.5,NAR,0.17121666666666666,0.052051149136563564
223,50.0%,0.5,NCAR,0.16631666666666664,0.1216144617175547
224,50.0%,0.5,NNAR,0.17828333333333332,0.08666499943135511
225,50.0%,0.55,NAR,0.26620000000000005,0.1252994757398835
226,50.0%,0.55,NCAR,0.19930000000000003,0.1362570213312656
227,50.0%,0.55,NNAR,0.21523333333333333,0.06287134281313257
228,50.0%,0.6,NAR,0.33249999999999996,0.11988342038313146
229,50.0%,0.6,NCAR,0.2628666666666667,0.1674547253960642
230,50.0%,0.6,NNAR,0.25608333333333333,0.08927061563634449
231,50.0%,0.65,NAR,0.4092666666666666,0.13965596480547163
232,50.0%,0.65,NCAR,0.3123833333333333,0.1494239330951009
233,50.0%,0.65,NNAR,0.35503333333333326,0.10297270590267861
234,60.0%,0.05,NAR,0.009633333333333334,0.015466277739858314
235,60.0%,0.05,NCAR,0.008683333333333333,0.013038724375234463
236,60.0%,0.05,NNAR,0.007683333333333334,0.017964276492112265
237,60.0%,0.1,NAR,0.02113333333333333,0.02945333343740081
238,60.0%,0.1,NCAR,0.02045,0.026093119055968863
239,60.0%,0.1,NNAR,0.022783333333333336,0.027663521147873613
240,60.0%,0.15,NAR,0.02718333333333333,0.03960700985791603
241,60.0%,0.15,NCAR,0.02638333333333333,0.032998872324863524
242,60.0%,0.15,NNAR,0.027616666666666664,0.029291543834866148
243,60.0%,0.2,NAR,0.03543333333333333,0.03629589445134241
244,60.0%,0.2,NCAR,0.03981666666666665,0.044923015246648074
245,60.0%,0.2,NNAR,0.04093333333333334,0.04455019124796082
246,60.0%,0.25,NAR,0.04753333333333332,0.05215972374935661
247,60.0%,0.25,NCAR,0.05118333333333334,0.05889199397221144
248,60.0%,0.25,NNAR,0.05385,0.057022553009525426
249,60.0%,0.3,NAR,0.06271666666666667,0.06571800825645435
250,60.0%,0.3,NCAR,0.056433333333333335,0.05851020148795353
251,60.0%,0.3,NNAR,0.06471666666666667,0.058576310872248516
